meeting_type,reference,date,location,issue_number,issue_date,html_link,issue_type
COP,23,2017-11-06," Bonn, Germany",706,2017-11-09,https://enb.iisd.org/vol12/enb12706e.html,Issue
COP,23,2017-11-06," Bonn, Germany",707,2017-11-10,https://enb.iisd.org/vol12/enb12707e.html,Issue
COP,23,2017-11-06," Bonn, Germany",708,2017-11-11,https://enb.iisd.org/vol12/enb12708e.html,Issue
COP,23,2017-11-06," Bonn, Germany",709,2017-11-13,https://enb.iisd.org/vol12/enb12709e.html,Issue
COP,23,2017-11-06," Bonn, Germany",710,2017-11-14,https://enb.iisd.org/vol12/enb12710e.html,Issue
COP,23,2017-11-06," Bonn, Germany",711,2017-11-15,https://enb.iisd.org/vol12/enb12711e.html,Issue
COP,23,2017-11-06," Bonn, Germany",712,2017-11-16,https://enb.iisd.org/vol12/enb12712e.html,Issue
COP,23,2017-11-06," Bonn, Germany",713,2017-11-17,https://enb.iisd.org/vol12/enb12713e.html,Issue
COP,23,2017-11-06," Bonn, Germany",714,Summary and Analysis,https://enb.iisd.org/vol12/enb12714e.html,Summary
IPCC,47,2018-03-13," Headquarters of the UN Educational, Scientific and Cultural Organization (UNESCO), Paris, France",715,Summary and Analysis,https://enb.iisd.org/vol12/enb12715e.html,Summary
SB,48,2018-04-30," Bonn, Germany",716,2018-04-30,https://enb.iisd.org/vol12/enb12716e.html,First
SB,48,2018-04-30," Bonn, Germany",717,2018-05-01,https://enb.iisd.org/vol12/enb12717e.html,Issue
SB,48,2018-04-30," Bonn, Germany",718,2018-05-02,https://enb.iisd.org/vol12/enb12718e.html,Issue
SB,48,2018-04-30," Bonn, Germany",719,2018-05-03,https://enb.iisd.org/vol12/enb12719e.html,Issue
SB,48,2018-04-30," Bonn, Germany",720,2018-05-04,https://enb.iisd.org/vol12/enb12720e.html,Issue
SB,48,2018-04-30," Bonn, Germany",721,2018-05-05,https://enb.iisd.org/vol12/enb12721e.html,Issue
SB,48,2018-04-30," Bonn, Germany",722,2018-05-07,https://enb.iisd.org/vol12/enb12722e.html,Issue
SB,48,2018-04-30," Bonn, Germany",723,2018-05-08,https://enb.iisd.org/vol12/enb12723e.html,Issue
SB,48,2018-04-30," Bonn, Germany",724,2018-05-09,https://enb.iisd.org/vol12/enb12724e.html,Issue
SB,48,2018-04-30," Bonn, Germany",725,2018-05-10,https://enb.iisd.org/vol12/enb12725e.html,Issue
SB,48,2018-04-30," Bonn, Germany",726,Summary and Analysis,https://enb.iisd.org/vol12/enb12726e.html,Summary
SB,48,2018-09-04," UN Conference Centre (UNCC), Bangkok, Thailand",727,2018-09-04,https://enb.iisd.org/vol12/enb12727e.html,First
SB,48,2018-09-04," UN Conference Centre (UNCC), Bangkok, Thailand",728,2018-09-05,https://enb.iisd.org/vol12/enb12728e.html,Issue
SB,48,2018-09-04," UN Conference Centre (UNCC), Bangkok, Thailand",729,2018-09-06,https://enb.iisd.org/vol12/enb12729e.html,Issue
SB,48,2018-09-04," UN Conference Centre (UNCC), Bangkok, Thailand",730,2018-09-07,https://enb.iisd.org/vol12/enb12730e.html,Issue
SB,48,2018-09-04," UN Conference Centre (UNCC), Bangkok, Thailand",731,2018-09-08,https://enb.iisd.org/vol12/enb12731e.html,Issue
SB,48,2018-09-04," UN Conference Centre (UNCC), Bangkok, Thailand",732,2018-09-09,https://enb.iisd.org/vol12/enb12732e.html,Issue
SB,48,2018-09-04," UN Conference Centre (UNCC), Bangkok, Thailand",733,Summary and Analysis,https://enb.iisd.org/vol12/enb12733e.html,Summary
IPCC,48,2018-10-01," Incheon, Republic of Korea",734,2018-10-01,https://enb.iisd.org/vol12/enb12734e.html,Summary
COP,24,2018-12-02," Katowice, Poland",735,Curtain Raiser,https://enb.iisd.org/vol12/enb12735e.html,First
COP,24,2018-12-02," Katowice, Poland",736,2018-12-02,https://enb.iisd.org/vol12/enb12736e.html,Issue
COP,24,2018-12-02," Katowice, Poland",737,2018-12-03,https://enb.iisd.org/vol12/enb12737e.html,Issue
COP,24,2018-12-02," Katowice, Poland",738,2018-12-04,https://enb.iisd.org/vol12/enb12738e.html,Issue
COP,24,2018-12-02," Katowice, Poland",739,2018-12-05,https://enb.iisd.org/vol12/enb12739e.html,Issue
COP,24,2018-12-02," Katowice, Poland",740,2018-12-06,https://enb.iisd.org/vol12/enb12740e.html,Issue
COP,24,2018-12-02," Katowice, Poland",741,2018-12-07,https://enb.iisd.org/vol12/enb12741e.html,Issue
COP,24,2018-12-02," Katowice, Poland",742,2018-12-08,https://enb.iisd.org/vol12/enb12742e.html,Issue
COP,24,2018-12-02," Katowice, Poland",743,2018-12-10,https://enb.iisd.org/vol12/enb12743e.html,Issue
COP,24,2018-12-02," Katowice, Poland",744,2018-12-11,https://enb.iisd.org/vol12/enb12744e.html,Issue
COP,24,2018-12-02," Katowice, Poland",745,2018-12-12,https://enb.iisd.org/vol12/enb12745e.html,Issue
